 61 3408.972670 3.893E-27 2.726E-03.04500.058 1976.24190.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18F2  2        19F1  3     234332333638 7 1 7   111.0  117.0
 61 3409.320966 2.800E-27 2.940E-03.03800.058 1976.19960.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18E   1        19E   2     234332333638 7 1 7    74.0   78.0
 61 3409.754343 4.149E-28 1.126E-03.04500.057 2400.23140.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22A1 36        21A2  2     233332403637 7 1 7   225.0  215.0
 61 3409.997874 1.346E-26 2.224E-02.04600.058 2183.68460.59-.006800    0 2 0 0 1E     0 0 0 0 1A1   21F2101        20F1  5     333332403637 7 1 7   129.0  123.0
 61 3410.030530 8.948E-27 2.218E-02.04600.058 2183.70290.59-.006800    0 2 0 0 1E     0 0 0 0 1A1   21E  67        20E   4     333332403637 7 1 7    86.0   82.0
 61 3410.063984 1.361E-26 2.249E-02.04600.058 2183.71830.59-.006800    0 2 0 0 1E     0 0 0 0 1A1   21F1104        20F2  5     333332403637 7 1 7   129.0  123.0
 61 3410.743406 2.411E-29 5.958E-05.04600.058 2182.99000.59-.006800    0 2 0 0 1E     0 0 0 0 1A1   21E  67        20E   3     233332403637 7 1 7    86.0   82.0
 61 3410.877380 1.759E-28 1.239E-04.04500.058 1977.21470.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18F2  3        19F1  5     134332453638 7 1 7   111.0  117.0
 61 3411.018470 1.030E-28 7.234E-05.04500.058 1976.65030.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18F1  2        19F2  4     134332453638 7 1 7   111.0  117.0
 61 3411.382197 1.464E-29 2.406E-05.04600.058 2182.40010.59-.006800    0 2 0 0 1E     0 0 0 0 1A1   21F1104        20F2  3     233332403637 7 1 7   129.0  123.0
 61 3411.500807 1.451E-26 3.908E-02.04500.057 2398.48510.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22A1 36        21A2  1     333332403637 7 1 7   225.0  215.0
 61 3411.781855 8.628E-29 3.906E-04.04500.057 2400.21700.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F1103        21F2  5     233332403637 7 1 7   135.0  129.0
 61 3411.813010 4.214E-27 2.948E-03.04500.058 1975.75900.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18F1  2        19F2  3     234332333638 7 1 7   111.0  117.0
 61 3412.313423 4.708E-27 3.294E-03.04500.058 1975.72490.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18F2  3        19F1  2     234332333638 7 1 7   111.0  117.0
 61 3412.729169 2.593E-28 1.169E-03.04500.057 2399.26980.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F1103        21F2  4     233332403637 7 1 7   135.0  129.0
 61 3413.425275 5.416E-28 4.507E-03.04400.057 2620.96680.58-.006800    0 0 0 3 1F2    0 0 0 0 1A1   21A1  3        22A2  1     133332453637 7 1 7   215.0  225.0
 61 3413.425900 3.245E-28 4.500E-03.04400.057 2620.96680.58-.006800    0 0 0 3 1F2    0 0 0 0 1A1   21F1  7        22F2  1     133332453637 7 1 7   129.0  135.0
 61 3413.426212 2.179E-28 4.533E-03.04400.057 2620.96660.58-.006800    0 0 0 3 1F2    0 0 0 0 1A1   21E   4        22E   1     133332453637 7 1 7    86.0   90.0
 61 3413.432436 7.531E-27 3.386E-02.04500.057 2398.56640.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F1103        21F2  3     333332403637 7 1 7   135.0  129.0
 61 3413.574511 3.889E-28 2.634E-03.04500.057 2399.41650.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22E  71        21E   3     233332403637 7 1 7    90.0   86.0
 61 3414.169799 1.347E-28 6.037E-04.04500.057 2397.82910.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F1103        21F2  2     233332403637 7 1 7   135.0  129.0
 61 3414.176063 4.864E-29 6.317E-04.04400.057 2625.68040.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   23F1109        22F2  5     233332403637 7 1 7   141.0  135.0
 61 3414.305209 3.416E-29 4.439E-04.04400.057 2625.77100.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   23F2107        22F1  4     233332403637 7 1 7   141.0  135.0
 61 3414.373823 4.963E-27 3.350E-02.04500.057 2398.61720.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22E  71        21E   2     333332403637 7 1 7    90.0   86.0
 61 3414.677618 4.207E-29 5.452E-04.04400.057 2625.17870.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   23F1109        22F2  4     233332403637 7 1 7   141.0  135.0
 61 3414.717634 3.860E-29 1.751E-04.04500.057 2400.20140.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F2106        21F1  6     233332403637 7 1 7   135.0  129.0
 61 3415.444016 4.663E-29 2.108E-04.04500.057 2399.47510.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F2106        21F1  5     233332403637 7 1 7   135.0  129.0
 61 3415.941129 9.183E-27 4.143E-02.04500.057 2398.97780.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F2106        21F1  4     333332403637 7 1 7   135.0  129.0
 61 3416.093232 3.697E-28 1.563E-04.04600.058 1976.71770.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18A1  2        19A2  2     134332453638 7 1 7   185.0  195.0
 61 3417.375880 1.917E-27 2.456E-02.04400.057 2622.48050.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   23F1109        22F2  2     333332403637 7 1 7   141.0  135.0
 61 3417.593647 1.921E-27 2.461E-02.04400.057 2622.48240.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   23F2107        22F1  1     333332403637 7 1 7   141.0  135.0
 61 3417.623863 3.693E-27 3.875E-03.03800.058 1975.01460.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18E   2        19E   1     234332333638 7 1 7    74.0   78.0
 61 3417.666438 5.621E-27 3.932E-03.04500.058 1975.01230.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18F1  3        19F2  2     234332333638 7 1 7   111.0  117.0
 61 3417.747945 9.594E-27 4.027E-03.04600.058 1975.00780.60-.006800    0 0 0 3 1F1    0 0 0 0 1A1   18A1  2        19A2  1     234332333638 7 1 7   185.0  195.0
 61 3420.700614 2.128E-29 9.685E-05.04500.057 2400.21700.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F1104        21F2  5     233332403637 7 1 7   135.0  129.0
 61 3421.567624 3.411E-28 4.788E-03.04400.057 2622.48050.58-.006800    0 0 0 3 1F2    0 0 0 0 1A1   21F1  8        22F2  2     133332453637 7 1 7   129.0  135.0
 61 3421.574065 3.394E-28 4.765E-03.04400.057 2622.48240.58-.006800    0 0 0 3 1F2    0 0 0 0 1A1   21F2  6        22F1  1     133332453637 7 1 7   129.0  135.0
 61 3421.647928 7.228E-27 3.276E-02.04500.057 2399.26980.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F1104        21F2  4     333332403637 7 1 7   135.0  129.0
 61 3421.650311 2.107E-29 9.594E-05.04500.057 2400.20140.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F2107        21F1  6     233332403637 7 1 7   135.0  129.0
 61 3422.053935 5.086E-27 3.461E-02.04500.057 2399.41650.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22E  72        21E   3     333332403637 7 1 7    90.0   86.0
 61 3422.351195 9.752E-29 4.407E-04.04500.057 2398.56640.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F1104        21F2  3     233332403637 7 1 7   135.0  129.0
 61 3422.376693 8.108E-27 3.681E-02.04500.057 2399.47510.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F2107        21F1  5     333332403637 7 1 7   135.0  129.0
 61 3422.853246 1.120E-28 7.597E-04.04500.057 2398.61720.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22E  72        21E   2     233332403637 7 1 7    90.0   86.0
 61 3422.873806 1.801E-29 8.158E-05.04500.057 2398.97780.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   22F2107        21F1  4     233332403637 7 1 7   135.0  129.0
 61 3422.905472 4.147E-28 3.251E-03.04400.057 2625.84550.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   23A2 37        22A1  2     233332403637 7 1 7   235.0  225.0
 61 3422.927868 2.165E-29 2.840E-04.04400.057 2626.65870.58-.006800    0 2 0 0 1E     0 0 0 0 1A1   23F2108        22F1  5     233332403637 7 1 7   141.0  135.0
